Description,Assay_ID,Authors,Data_Repository,Status_Milestone_NanoBRET_tracer,Data_Format,Provider_institution,Repository,Gene,Endpoint,Link_Milestone_NanoBRET_assay,Endpoint_detection,Dataset_ID,Release_Date,Data_Link,PI,Status_Milestone_NanoBRET_assay,Link_Milestone_NanoBRET_tracer,id,pharosReady,name
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,BRSK2,fold change,https://www.synapse.org/#!Synapse:syn18435656,fluorescence intensity,syn18435656,null,https://www.synapse.org/#!Synapse:syn18435656,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435656,https://repo.metadatacenter.org/template-instances/ff0d4116-865d-4718-a886-65256590bcf5,true,NanoLuc®-BRSK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CSNK2A2,fold change,https://www.synapse.org/#!Synapse:syn18435653,fluorescence intensity,syn18435653,null,https://www.synapse.org/#!Synapse:syn18435653,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435653,https://repo.metadatacenter.org/template-instances/d6d414ab-2543-4d2b-a61b-2697f8efeac4,true,CSNK2A2-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CLK4,fold change,https://www.synapse.org/#!Synapse:syn18435654,fluorescence intensity,syn18435654,null,https://www.synapse.org/#!Synapse:syn18435654,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435654,https://repo.metadatacenter.org/template-instances/1d37787c-0e6a-4bf6-b66c-b36983589c6c,true,CLK4-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,DYRK1B,fold change,https://www.synapse.org/#!Synapse:syn18435652,fluorescence intensity,syn18435652,null,https://www.synapse.org/#!Synapse:syn18435652,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435652,https://repo.metadatacenter.org/template-instances/a34f85c2-d06a-49f2-b9d3-94353dfe674a,true,NanoLuc®-DYRK1B
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CSNK1G2,fold change,https://www.synapse.org/#!Synapse:syn18435639,fluorescence intensity,syn18435639,null,https://www.synapse.org/#!Synapse:syn18435639,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435639,https://repo.metadatacenter.org/template-instances/1609dc2d-c532-425b-a757-e563dec49f2c,true,NanoLuc®-CSNK1G2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,LTK,fold change,https://www.synapse.org/#!Synapse:syn18435650,fluorescence intensity,syn18435650,null,https://www.synapse.org/#!Synapse:syn18435650,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435650,https://repo.metadatacenter.org/template-instances/421a9c56-dcb1-44c3-95aa-58b9be2941f4,true,LTK-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,MAP3K10,fold change,https://www.synapse.org/#!Synapse:syn20715315,fluorescence intensity,syn20715315,null,https://www.synapse.org/#!Synapse:syn20715315,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20715315,https://repo.metadatacenter.org/template-instances/c6a5caaf-c7cf-4ffb-9f92-ce93d6bc6dd7,true,NanoLuc®-MAP3K10
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,MAPK4,fold change,https://www.synapse.org/#!Synapse:syn20689583,fluorescence intensity,syn20689583,null,https://www.synapse.org/#!Synapse:syn20689583,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20689583,https://repo.metadatacenter.org/template-instances/ae9a77f6-7eab-4570-82e8-5d7973bf1131,true,NanoLuc®-MAPK4
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,NEK3,fold change,https://www.synapse.org/#!Synapse:syn18435643,fluorescence intensity,syn18435643,null,https://www.synapse.org/#!Synapse:syn18435643,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435643,https://repo.metadatacenter.org/template-instances/6b589381-2163-4c16-9390-2235fc8fd71f,true,NanoLuc®-NEK3
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,MARK4,fold change,https://www.synapse.org/#!Synapse:syn20689582,fluorescence intensity,syn20689582,null,https://www.synapse.org/#!Synapse:syn20689582,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20689582,https://repo.metadatacenter.org/template-instances/54fc266f-1861-4823-aeb5-f34f489feb80,true,NanoLuc®-MARK4
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,NEK9,fold change,https://www.synapse.org/#!Synapse:syn18435642,fluorescence intensity,syn18435642,null,https://www.synapse.org/#!Synapse:syn18435642,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435642,https://repo.metadatacenter.org/template-instances/0f561b4b-a141-4b30-bf22-3bacd578e829,true,NanoLuc®-NEK9
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,PKMYT1,fold change,https://www.synapse.org/#!Synapse:syn21519495,fluorescence intensity,syn21519495,null,https://www.synapse.org/#!Synapse:syn21519495,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn21519495,https://repo.metadatacenter.org/template-instances/361236b3-202b-4201-9b54-d064ebc5acab,true,PKMYT1-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,PHKG1,fold change,https://www.synapse.org/#!Synapse:syn20715295,fluorescence intensity,syn20715295,null,https://www.synapse.org/#!Synapse:syn20715295,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20715295,https://repo.metadatacenter.org/template-instances/80a12786-33d4-4e71-a030-c01a200e22e1,true,NanoLuc®-PHKG1
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,RIOK2,fold change,https://www.synapse.org/#!Synapse:syn18435647,fluorescence intensity,syn18435647,null,https://www.synapse.org/#!Synapse:syn18435647,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435647,https://repo.metadatacenter.org/template-instances/17e88d5c-284d-4ced-8c17-cbf7f0bf8677,true,NanoLuc®-RIOK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,STK32B,fold change,https://www.synapse.org/#!Synapse:syn20715292,fluorescence intensity,syn20715292,null,https://www.synapse.org/#!Synapse:syn20715292,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20715292,https://repo.metadatacenter.org/template-instances/8bbae3ad-238b-41b7-8c09-0539414f583a,true,NanoLuc®-STK32B
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,STK33,fold change,https://www.synapse.org/#!Synapse:syn18435638,fluorescence intensity,syn18435638,null,https://www.synapse.org/#!Synapse:syn18435638,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435638,https://repo.metadatacenter.org/template-instances/eeca5c95-ffd9-49ba-ab10-62adb0d26345,true,NanoLuc®-STK33
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,ICK,fold change,https://www.synapse.org/#!Synapse:syn20715313,fluorescence intensity,syn20715313,null,https://www.synapse.org/#!Synapse:syn20715313,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20715313,https://repo.metadatacenter.org/template-instances/9b49beba-479a-4522-922c-a865dec64e22,true,NanoLuc®-fused ICK
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CDK11A,fold change,https://www.synapse.org/#!Synapse:syn18435664,fluorescence intensity,syn18435664,null,https://www.synapse.org/#!Synapse:syn18435664,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435664,https://repo.metadatacenter.org/template-instances/38ef60b2-8edd-4ec0-bd3d-27fce8745107,true,NanoLuc®-fused CDK11a
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK10,fold change,https://www.synapse.org/#!Synapse:syn18435660,fluorescence intensity,syn18435660,null,https://www.synapse.org/#!Synapse:syn18435660,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435660,https://repo.metadatacenter.org/template-instances/b113c5be-2dfa-466a-bcb5-ee273ec05774,true,NanoLuc®-fused CDK10
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK11A,fold change,https://www.synapse.org/#!Synapse:syn18435664,fluorescence intensity,syn18435664,null,https://www.synapse.org/#!Synapse:syn18435664,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435664,https://repo.metadatacenter.org/template-instances/92c7145f-dc2d-42f6-a84d-deb590629d7e,true,NanoLuc®-fused CDK11A
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK11B,fold change,https://www.synapse.org/#!Synapse:syn18435655,fluorescence intensity,syn18435655,null,https://www.synapse.org/#!Synapse:syn18435655,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435655,https://repo.metadatacenter.org/template-instances/b371e645-b6b0-44c4-8bf2-a0d780bcdcec,true,NanoLuc®-fused CDK11B
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK12,fold change,https://www.synapse.org/#!Synapse:syn18435662,fluorescence intensity,syn18435662,null,https://www.synapse.org/#!Synapse:syn18435662,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435662,https://repo.metadatacenter.org/template-instances/e9282a6b-6a26-4a59-9baf-cfe1ee72b0cd,true,NanoLuc®-fused CDK12
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK13,fold change,https://www.synapse.org/#!Synapse:syn18435661,fluorescence intensity,syn18435661,null,https://www.synapse.org/#!Synapse:syn18435661,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435661,https://repo.metadatacenter.org/template-instances/119b7d26-75d1-4281-b656-97adb55afb75,true,NanoLuc®-fused CDK13
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK14,fold change,https://www.synapse.org/#!Synapse:syn18435663,fluorescence intensity,syn18435663,null,https://www.synapse.org/#!Synapse:syn18435663,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435663,https://repo.metadatacenter.org/template-instances/2094a94e-4390-47f3-ade7-6398bdb3d4c3,true,NanoLuc®-fused CDK14
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK16,fold change,https://www.synapse.org/#!Synapse:syn18435667,fluorescence intensity,syn18435667,null,https://www.synapse.org/#!Synapse:syn18435667,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435667,https://repo.metadatacenter.org/template-instances/3d70450a-1a85-4b4e-85f4-acb6493b1df5,true,NanoLuc®-fused CDK16
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK17,fold change,https://www.synapse.org/#!Synapse:syn18435666,fluorescence intensity,syn18435666,null,https://www.synapse.org/#!Synapse:syn18435666,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435666,https://repo.metadatacenter.org/template-instances/ef880f29-4fd1-4c77-b9b2-50186596ea0a,true,NanoLuc®-fused CDK17
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK18,fold change,https://www.synapse.org/#!Synapse:syn18435665,fluorescence intensity,syn18435665,null,https://www.synapse.org/#!Synapse:syn18435665,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435665,https://repo.metadatacenter.org/template-instances/d348508b-3035-4522-bc80-9ca5c971329d,true,NanoLuc®-fused CDK18
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CLK4,fold change,https://www.synapse.org/#!Synapse:syn18435654,fluorescence intensity,syn18435654,null,https://www.synapse.org/#!Synapse:syn18435654,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435654,https://repo.metadatacenter.org/template-instances/6f1eff32-ec3b-47ef-bd9b-73d50bf693b9,true,NanoLuc®-fused CLK4
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CSNK2A2,fold change,https://www.synapse.org/#!Synapse:syn18435653,fluorescence intensity,syn18435653,null,https://www.synapse.org/#!Synapse:syn18435653,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435653,https://repo.metadatacenter.org/template-instances/567f1abc-a5f8-4414-874f-478cc1c73187,true,NanoLuc®-fused CSNK2A2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,DYRK2,fold change,https://www.synapse.org/#!Synapse:syn18435651,fluorescence intensity,syn18435651,null,https://www.synapse.org/#!Synapse:syn18435651,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435651,https://repo.metadatacenter.org/template-instances/7a28e58b-2b22-47da-93f1-1d1b0766588e,true,NanoLuc®-fused DYRK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,LTK,fold change,https://www.synapse.org/#!Synapse:syn18435650,fluorescence intensity,syn18435650,null,https://www.synapse.org/#!Synapse:syn18435650,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435650,https://repo.metadatacenter.org/template-instances/d6519c5d-81fc-4457-ad32-6bd322cad5eb,true,NanoLuc®-fused LTK
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,BRSK2,fold change,https://www.synapse.org/#!Synapse:syn18435656,fluorescence intensity,syn18435656,null,https://www.synapse.org/#!Synapse:syn18435656,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435656,https://repo.metadatacenter.org/template-instances/48ead1e5-69f1-4260-935e-04aa57810fdc,true,NanoLuc®-fused BRSK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK15,fold change,https://www.synapse.org/#!Synapse:syn18435659,fluorescence intensity,syn18435659,null,https://www.synapse.org/#!Synapse:syn18435659,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435659,https://repo.metadatacenter.org/template-instances/ab274f56-2a61-4516-8d00-decbfe476bbe,true,NanoLuc®-fused CDK15
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDK20,fold change,https://www.synapse.org/#!Synapse:syn18435640,fluorescence intensity,syn18435640,null,https://www.synapse.org/#!Synapse:syn18435640,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435640,https://repo.metadatacenter.org/template-instances/e75cc19e-2f1c-4481-87bd-5056224b9933,true,NanoLuc®-fused CDK20
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDKL1,fold change,https://www.synapse.org/#!Synapse:syn18435658,fluorescence intensity,syn18435658,null,https://www.synapse.org/#!Synapse:syn18435658,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435658,https://repo.metadatacenter.org/template-instances/4dfe2311-35f3-4af1-b0d0-e80353a66798,true,NanoLuc®-fused CDKL1
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDKL2,fold change,https://www.synapse.org/#!Synapse:syn18435657,fluorescence intensity,syn18435657,null,https://www.synapse.org/#!Synapse:syn18435657,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435657,https://repo.metadatacenter.org/template-instances/f9266b20-7398-423b-bf6b-1d6c637712b5,true,NanoLuc®-fused CDKL2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDKL3,fold change,https://www.synapse.org/#!Synapse:syn18435646,fluorescence intensity,syn18435646,null,https://www.synapse.org/#!Synapse:syn18435646,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435646,https://repo.metadatacenter.org/template-instances/58e69eef-791c-4755-95c9-d66ebdd095cc,true,NanoLuc®-fused CDKL3
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CDKL5,fold change,https://www.synapse.org/#!Synapse:syn18435645,fluorescence intensity,syn18435645,null,https://www.synapse.org/#!Synapse:syn18435645,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435645,https://repo.metadatacenter.org/template-instances/8df5d606-f609-40f8-92bf-c9da08142490,true,NanoLuc®-fused CDKL5
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,CSNK1G2,fold change,https://www.synapse.org/#!Synapse:syn18435639,fluorescence intensity,syn18435639,null,https://www.synapse.org/#!Synapse:syn18435639,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435639,https://repo.metadatacenter.org/template-instances/2ba39207-10a8-4c75-8d3d-a7ee5b885758,true,NanoLuc®-fused CSNK1G2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,DYRK1B,fold change,https://www.synapse.org/#!Synapse:syn18435652,fluorescence intensity,syn18435652,null,https://www.synapse.org/#!Synapse:syn18435652,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435652,https://repo.metadatacenter.org/template-instances/69c798af-53a3-402a-89f4-1429c0ccd579,true,NanoLuc®-fused DYRK1B
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,MKNK2,fold change,https://www.synapse.org/#!Synapse:syn18435649,fluorescence intensity,syn18435649,null,https://www.synapse.org/#!Synapse:syn18435649,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435649,https://repo.metadatacenter.org/template-instances/e036a485-f584-43d9-abc9-bfc1831dccd7,true,NanoLuc®-fused MKNK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,NEK3,fold change,https://www.synapse.org/#!Synapse:syn18435643,fluorescence intensity,syn18435643,null,https://www.synapse.org/#!Synapse:syn18435643,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435643,https://repo.metadatacenter.org/template-instances/2d36cd60-9a95-450b-aafd-7f4fd1fcba71,true,NanoLuc®-fused NEK3
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,NEK9,fold change,https://www.synapse.org/#!Synapse:syn18435642,fluorescence intensity,syn18435642,null,https://www.synapse.org/#!Synapse:syn18435642,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435642,https://repo.metadatacenter.org/template-instances/48947fd3-ad67-4496-8819-c983b04bf1d5,true,NanoLuc®-fused NEK9
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,RIOK2,fold change,https://www.synapse.org/#!Synapse:syn18435647,fluorescence intensity,syn18435647,null,https://www.synapse.org/#!Synapse:syn18435647,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435647,https://repo.metadatacenter.org/template-instances/cca3e1c5-0dd0-4466-a373-aa9581b4e45f,true,NanoLuc®-fused RIOK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,STK33,fold change,https://www.synapse.org/#!Synapse:syn18435638,fluorescence intensity,syn18435638,null,https://www.synapse.org/#!Synapse:syn18435638,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435638,https://repo.metadatacenter.org/template-instances/82b04a2d-2a87-4981-92ef-4ce13cda0b73,true,NanoLuc®-fused STK33
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,PAK5,fold change,https://www.synapse.org/#!Synapse:syn18435641,fluorescence intensity,syn18435641,null,https://www.synapse.org/#!Synapse:syn18435641,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435641,https://repo.metadatacenter.org/template-instances/c13a1f2c-929a-4732-97ed-02557e3af919,true,NanoLuc®-fused PAK5
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,,PKN3,fold change,https://www.synapse.org/#!Synapse:syn18435648,fluorescence intensity,syn18435648,null,https://www.synapse.org/#!Synapse:syn18435648,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435648,https://repo.metadatacenter.org/template-instances/20d70380-4dd9-410a-9cf1-16dded521bf5,true,NanoLuc®-fused PKN3
